,apelido,clube_id,clube_nome,jogador_id,posicao_id,posicao_nome,status_id,status_nome,scout,rodada,pontos,preco,variacao,media
0,Carlos Eduardo,293,Athlético-PR,90917,5,Atacante,6,Nulo,"{'DS': 3, 'FC': 4, 'FF': 2, 'FS': 3, 'G': 1, 'PI': 11}",1,0.3,3.12,-0.88,0.3
1,Carlos Eduardo,293,Athlético-PR,90917,5,Atacante,6,Nulo,"{'DS': 3, 'FC': 4, 'FF': 2, 'FS': 3, 'G': 1, 'PI': 11}",2,7.0,5.5,2.38,3.65
2,Carlos Eduardo,293,Athlético-PR,90917,5,Atacante,6,Nulo,"{'DS': 3, 'FC': 4, 'FF': 2, 'FS': 3, 'G': 1, 'PI': 11}",3,0.2,4.71,-0.79,2.5
3,Carlos Eduardo,293,Athlético-PR,90917,5,Atacante,6,Nulo,"{'DS': 3, 'FC': 4, 'FF': 2, 'FS': 3, 'G': 1, 'PI': 11}",4,1.2,4.81,0.1,2.17
4,Carlos Eduardo,293,Athlético-PR,90917,5,Atacante,6,Nulo,"{'DS': 3, 'FC': 4, 'FF': 2, 'FS': 3, 'G': 1, 'PI': 11}",5,0.0,4.81,0.0,2.17
5,Carlos Eduardo,293,Athlético-PR,90917,5,Atacante,6,Nulo,"{'DS': 3, 'FC': 4, 'FF': 2, 'FS': 3, 'G': 1, 'PI': 11}",6,0.0,4.81,0.0,2.17
6,Carlos Eduardo,293,Athlético-PR,90917,5,Atacante,6,Nulo,"{'DS': 3, 'FC': 4, 'FF': 2, 'FS': 3, 'G': 1, 'PI': 11}",7,-0.1,4.22,-0.59,1.72
7,Carlos Eduardo,293,Athlético-PR,90917,5,Atacante,6,Nulo,"{'DS': 3, 'FC': 4, 'FF': 2, 'FS': 3, 'G': 1, 'PI': 11}",8,0.0,4.22,0.0,1.72
8,Carlos Eduardo,293,Athlético-PR,90917,5,Atacante,6,Nulo,"{'DS': 3, 'FC': 4, 'FF': 2, 'FS': 3, 'G': 1, 'PI': 11}",9,0.0,4.22,0.0,1.72
9,Carlos Eduardo,293,Athlético-PR,90917,5,Atacante,6,Nulo,"{'DS': 3, 'FC': 4, 'FF': 2, 'FS': 3, 'G': 1, 'PI': 11}",10,2.4,4.53,0.31,1.83
10,Carlos Eduardo,293,Athlético-PR,90917,5,Atacante,6,Nulo,"{'DS': 3, 'FC': 4, 'FF': 2, 'FS': 3, 'G': 1, 'PI': 11}",11,0.0,4.53,0.0,1.83
11,Carlos Eduardo,293,Athlético-PR,90917,5,Atacante,6,Nulo,"{'DS': 3, 'FC': 4, 'FF': 2, 'FS': 3, 'G': 1, 'PI': 11}",12,,,,
12,Gustavo Ferrareis,373,Atlético-GO,89815,4,Meia,7,Provável,"{'A': 1, 'CA': 1, 'DS': 14, 'FC': 21, 'FD': 3, 'FF': 8, 'FS': 19, 'G': 2, 'I': 2, 'PI': 50}",1,0.0,4.0,0.0,0.0
13,Gustavo Ferrareis,373,Atlético-GO,89815,4,Meia,7,Provável,"{'A': 1, 'CA': 1, 'DS': 14, 'FC': 21, 'FD': 3, 'FF': 8, 'FS': 19, 'G': 2, 'I': 2, 'PI': 50}",2,15.8,9.97,5.97,15.8
14,Gustavo Ferrareis,373,Atlético-GO,89815,4,Meia,7,Provável,"{'A': 1, 'CA': 1, 'DS': 14, 'FC': 21, 'FD': 3, 'FF': 8, 'FS': 19, 'G': 2, 'I': 2, 'PI': 50}",3,5.1,10.08,0.11,10.45
15,Gustavo Ferrareis,373,Atlético-GO,89815,4,Meia,7,Provável,"{'A': 1, 'CA': 1, 'DS': 14, 'FC': 21, 'FD': 3, 'FF': 8, 'FS': 19, 'G': 2, 'I': 2, 'PI': 50}",4,0.0,10.08,0.0,10.45
16,Gustavo Ferrareis,373,Atlético-GO,89815,4,Meia,7,Provável,"{'A': 1, 'CA': 1, 'DS': 14, 'FC': 21, 'FD': 3, 'FF': 8, 'FS': 19, 'G': 2, 'I': 2, 'PI': 50}",5,2.5,9.62,-0.46,7.8
17,Gustavo Ferrareis,373,Atlético-GO,89815,4,Meia,7,Provável,"{'A': 1, 'CA': 1, 'DS': 14, 'FC': 21, 'FD': 3, 'FF': 8, 'FS': 19, 'G': 2, 'I': 2, 'PI': 50}",6,0.5,9.14,-0.48,5.98
18,Gustavo Ferrareis,373,Atlético-GO,89815,4,Meia,7,Provável,"{'A': 1, 'CA': 1, 'DS': 14, 'FC': 21, 'FD': 3, 'FF': 8, 'FS': 19, 'G': 2, 'I': 2, 'PI': 50}",7,0.4,8.82,-0.32,4.86
19,Gustavo Ferrareis,373,Atlético-GO,89815,4,Meia,7,Provável,"{'A': 1, 'CA': 1, 'DS': 14, 'FC': 21, 'FD': 3, 'FF': 8, 'FS': 19, 'G': 2, 'I': 2, 'PI': 50}",8,-0.9,8.44,-0.38,3.9
20,Gustavo Ferrareis,373,Atlético-GO,89815,4,Meia,7,Provável,"{'A': 1, 'CA': 1, 'DS': 14, 'FC': 21, 'FD': 3, 'FF': 8, 'FS': 19, 'G': 2, 'I': 2, 'PI': 50}",9,1.8,8.77,0.33,3.6
21,Gustavo Ferrareis,373,Atlético-GO,89815,4,Meia,7,Provável,"{'A': 1, 'CA': 1, 'DS': 14, 'FC': 21, 'FD': 3, 'FF': 8, 'FS': 19, 'G': 2, 'I': 2, 'PI': 50}",10,1.5,8.68,-0.09,3.34
22,Gustavo Ferrareis,373,Atlético-GO,89815,4,Meia,7,Provável,"{'A': 1, 'CA': 1, 'DS': 14, 'FC': 21, 'FD': 3, 'FF': 8, 'FS': 19, 'G': 2, 'I': 2, 'PI': 50}",11,9.3,10.08,1.4,4.0
23,Gustavo Ferrareis,373,Atlético-GO,89815,4,Meia,7,Provável,"{'A': 1, 'CA': 1, 'DS': 14, 'FC': 21, 'FD': 3, 'FF': 8, 'FS': 19, 'G': 2, 'I': 2, 'PI': 50}",12,,,,
24,Vagner Mancini,373,Atlético-GO,39850,6,Técnico,7,Provável,{},1,0.0,2.0,0.0,0.0
25,Vagner Mancini,373,Atlético-GO,39850,6,Técnico,7,Provável,{},2,8.89,5.42,3.42,8.89
26,Vagner Mancini,373,Atlético-GO,39850,6,Técnico,7,Provável,{},3,2.98,5.55,0.13,5.94
