,clube_casa_id,clube_visitant_id,clube_casa_nome,clube_visitant_nome,placar_casa,placar_visitante,rodada
0,356,293,Fortaleza,Athlético-PR,0.0,2.0,1
1,294,285,Coritiba,Internacional,0.0,1.0,1
2,292,354,Sport,Ceará,3.0,2.0,1
3,262,282,Flamengo,Atlético-MG,0.0,1.0,1
4,277,280,Santos,Bragantino,1.0,1.0,1
5,290,276,Goiás,São Paulo,-1.0,-1.0,1
6,284,266,Grêmio,Fluminense,1.0,0.0,1
7,275,267,Palmeiras,Vasco,-1.0,-1.0,1
8,263,265,Botafogo,Bahia,-1.0,-1.0,1
9,264,373,Corinthians,Atlético-GO,-1.0,-1.0,1
10,280,263,Bragantino,Botafogo,1.0,1.0,2
11,282,264,Atlético-MG,Corinthians,3.0,2.0,2
12,293,290,Athlético-PR,Goiás,2.0,1.0,2
13,265,294,Bahia,Coritiba,1.0,0.0,2
14,373,262,Atlético-GO,Flamengo,3.0,0.0,2
15,266,275,Fluminense,Palmeiras,1.0,1.0,2
16,354,284,Ceará,Grêmio,1.0,1.0,2
17,276,356,São Paulo,Fortaleza,1.0,0.0,2
18,285,277,Internacional,Santos,2.0,0.0,2
19,267,292,Vasco,Sport,2.0,0.0,2
20,284,264,Grêmio,Corinthians,0.0,0.0,3
21,294,262,Coritiba,Flamengo,0.0,1.0,3
22,275,290,Palmeiras,Goiás,1.0,1.0,3
23,282,354,Atlético-MG,Ceará,2.0,0.0,3
24,267,276,Vasco,São Paulo,2.0,1.0,3
25,265,280,Bahia,Bragantino,2.0,1.0,3
26,266,285,Fluminense,Internacional,2.0,1.0,3
27,373,292,Atlético-GO,Sport,1.0,1.0,3
28,356,263,Fortaleza,Botafogo,0.0,0.0,3
29,277,293,Santos,Athlético-PR,3.0,1.0,3
30,262,284,Flamengo,Grêmio,1.0,1.0,4
31,280,266,Bragantino,Fluminense,2.0,1.0,4
32,293,275,Athlético-PR,Palmeiras,0.0,1.0,4
33,285,373,Internacional,Atlético-GO,3.0,0.0,4
34,290,356,Goiás,Fortaleza,1.0,3.0,4
35,263,282,Botafogo,Atlético-MG,2.0,1.0,4
36,264,294,Corinthians,Coritiba,3.0,1.0,4
37,292,277,Sport,Santos,0.0,1.0,4
38,276,265,São Paulo,Bahia,1.0,1.0,4
39,354,267,Ceará,Vasco,0.0,3.0,4
40,293,266,Athlético-PR,Fluminense,0.0,1.0,5
41,285,282,Internacional,Atlético-MG,1.0,0.0,5
42,290,373,Goiás,Atlético-GO,2.0,0.0,5
43,262,263,Flamengo,Botafogo,1.0,1.0,5
44,267,284,Vasco,Grêmio,0.0,0.0,5
45,275,277,Palmeiras,Santos,2.0,1.0,5
46,280,294,Bragantino,Coritiba,1.0,2.0,5
47,292,276,Sport,São Paulo,0.0,1.0,5
48,354,265,Ceará,Bahia,2.0,0.0,5
49,264,356,Corinthians,Fortaleza,1.0,1.0,5
50,282,293,Atlético-MG,Athlético-PR,-1.0,-1.0,6
51,263,285,Botafogo,Internacional,0.0,2.0,6
52,266,267,Fluminense,Vasco,2.0,1.0,6
53,265,275,Bahia,Palmeiras,1.0,1.0,6
54,356,280,Fortaleza,Bragantino,3.0,0.0,6
55,276,264,São Paulo,Corinthians,2.0,1.0,6
56,277,262,Santos,Flamengo,0.0,1.0,6
57,294,292,Coritiba,Sport,1.0,0.0,6
58,373,354,Atlético-GO,Ceará,0.0,2.0,6
59,284,290,Grêmio,Goiás,-1.0,-1.0,6
60,354,356,Ceará,Fortaleza,1.0,0.0,7
61,266,373,Fluminense,Atlético-GO,1.0,1.0,7
62,290,264,Goiás,Corinthians,1.0,2.0,7
63,263,294,Botafogo,Coritiba,0.0,0.0,7
64,265,262,Bahia,Flamengo,3.0,5.0,7
65,293,280,Athlético-PR,Bragantino,1.0,1.0,7
66,275,285,Palmeiras,Internacional,1.0,1.0,7
67,277,267,Santos,Vasco,2.0,2.0,7
68,284,292,Grêmio,Sport,1.0,2.0,7
69,282,276,Atlético-MG,São Paulo,3.0,0.0,7
70,262,356,Flamengo,Fortaleza,2.0,1.0,8
71,264,263,Corinthians,Botafogo,2.0,2.0,8
72,354,277,Ceará,Santos,0.0,1.0,8
73,280,275,Bragantino,Palmeiras,1.0,2.0,8
74,276,266,São Paulo,Fluminense,3.0,1.0,8
75,285,265,Internacional,Bahia,2.0,2.0,8
76,267,293,Vasco,Athlético-PR,1.0,0.0,8
77,373,284,Atlético-GO,Grêmio,1.0,1.0,8
78,292,290,Sport,Goiás,2.0,1.0,8
79,294,282,Coritiba,Atlético-MG,0.0,1.0,8
80,293,263,Athlético-PR,Botafogo,1.0,1.0,9
81,356,292,Fortaleza,Sport,1.0,0.0,9
82,290,294,Goiás,Coritiba,3.0,3.0,9
83,276,280,São Paulo,Bragantino,1.0,1.0,9
84,266,262,Fluminense,Flamengo,1.0,2.0,9
85,277,282,Santos,Atlético-MG,3.0,1.0,9
86,264,275,Corinthians,Palmeiras,0.0,2.0,9
87,285,354,Internacional,Ceará,2.0,0.0,9
